Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,net2g,net3g,net4g,speed,year,status,dimensions,weight,sim,displaytype,displaysize,displayresolution,os,chipset,cpu,gpu,memoryslot,internalmemory,memoryother,cam1modules,cam1features,cam1video,cam2modules,cam2features,cam2video,wlan,bluetooth,gps,nfc,radio,usb,sensors,batdescription1,colors,models,price,,,,,
https://www.gsmarena.com/asus_zenfone_4_selfie_zb553kl-8862.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-selfie-zb553kl.jpg,Asus Zenfone 4 Selfie ZB553KL,"Released 2017, November","144g, 7.9mm thickness","Android 7.0, up to Android 8.1, ZenUI 5","32GB storage, microSDXC","5.5""",720x1280 pixels,3 GB RAM,3000 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, September","Available. Released 2017, November",155.7 x 75.9 x 7.9 mm (6.13 x 2.99 x 0.31 in),144 g (5.08 oz),"Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"5.5 inches, 83.4 cm(~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 7.0 (Nougat), upgradable to Android 8.1 (Oreo), ZenUI 5",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),32GB 3GB RAM,eMMC 5.1,"13 MP, PDAF","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0",LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1, A2DP, EDR, LE","GPS, GLONASS, BDS",No,FM radio,"microUSB 2.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable","Deepsea Black, Rose Pink, Sunlight Gold",X00LDB,About 150 EUR,,,,,
https://www.gsmarena.com/asus_zenfone_4_selfie_pro_zd552kl-8808.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-selfie-pro-zd552kl.jpg,Asus Zenfone 4 Selfie Pro ZD552KL,"Released 2017, October","147g, 6.9mm thickness","Android 7, ZenUI 4","64GB storage, microSDXC","5.5""",1080x1920 pixels,3/4 GB RAM,3000 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 - Global,"1, 3, 5, 7, 8, 20, 40 - Global","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 MbpsLTE-A (2CA) Cat6 300/50 Mbps - TW/JP/HK","2017, August","Available. Released 2017, October",154 x 74.8 x 6.9 mm (6.06 x 2.94 x 0.27 in),147 g (5.19 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",AMOLED,"5.5 inches, 83.4 cm(~72.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 5,"Android 7 (Nougat), ZenUI 4",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,microSDXC (uses shared SIM slot),"64GB 3GB RAM, 64GB 4GB RAM",eMMC 5.1,"16 MP, 26mm (wide), dual pixel PDAF","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30/60fps, 720p@120fps","12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm","LED flash, panorama, HDR",4K@30fps,24-bit/192kHz audio,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, EDR, LE","GPS, GLONASS, BDS, GALILEO",No,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable","Rouge Red, Sunlight Gold, Deepsea Black","Z01MD, Z01MDA",About 250 EUR,,,
https://www.gsmarena.com/asus_zenfone_4_selfie_zd553kl-8784.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-selfie-zd553kl.jpg,Asus Zenfone 4 Selfie ZD553KL,"Released 2017, October","144g, 7.9mm thickness","Android 7.0, up to Android 8.1, ZenUI 5","64GB storage, microSDXC","5.5""",720x1280 pixels,4 GB RAM,3000 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSDPA 850 / 900 / 2100 - Global, India, Indonesia","1, 3, 5, 7, 8, 20, 40 - Global, India, Indonesia","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, August","Available. Released 2017, October",155.7 x 75.9 x 7.9 mm (6.13 x 2.99 x 0.31 in),144 g (5.08 oz),"Glass front, aluminum back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"5.5 inches, 83.4 cm(~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 7.0 (Nougat), upgradable to Android 8.1 (Oreo), ZenUI 5",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),64GB 4GB RAM,eMMC 5.1,"16 MP, 26mm (wide), PDAF","LED flash, panorama, HDR",1080p@30fps,"20 MP, f/2.0, 31mm (standard), 1/2.8"", 1.0µm","LED flash, panorama, HDR",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1, A2DP, EDR, LE","GPS, GLONASS, BDS, GALILEO",No,FM radio,"microUSB 2.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable","Deepsea Black, Mint Green, Rose Pink, Sunlight Gold",X00LD,About 250 EUR,,,,
https://www.gsmarena.com/asus_zenfone_4_max_zc520kl-8811.php,https://fdn2.gsmarena.com/vv/bigpic/asus-ZC520KL.jpg,Asus Zenfone 4 Max ZC520KL,"Released 2017, October","156g, 8.8mm thickness","Android 7, up to Android 8, ZenUI 4","16GB/32GB storage, microSDXC","5.2""",720x1280 pixels,2/3 GB RAM,4100 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, August","Available. Released 2017, October",150.5 x 73.3 x 8.8 mm (5.93 x 2.89 x 0.35 in),156 g (5.50 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",IPS LCD,"5.2 inches, 74.5 cm(~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Android 7 (Nougat), upgradable to Android 8 (Oreo), ZenUI 4",Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 3GB RAM",eMMC 5.1,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,8 MP,LED flash,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1, A2DP, LE","GPS, GLONASS",No,FM radio,"microUSB 2.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 4100 mAh, non-removable","Black, Gold, Silver",X00HD,About 180 EUR,,,,,
https://www.gsmarena.com/asus_zenfone_4_max_pro_zc554kl-8814.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-max-zc554kl.jpg,Asus Zenfone 4 Max Pro ZC554KL,"Released 2017, September","181g, 8.9mm thickness","Android 7, ZenUI 4","32GB storage, microSDXC","5.5""",720x1280 pixels,2/3 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSDPA 850 / 900 / 2100 - Global, India, Indonesia","1, 3, 5, 7, 8, 20, 40 - Global, India, Indonesia","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, August","Available. Released 2017, September",154 x 76.9 x 8.9 mm (6.06 x 3.03 x 0.35 in),181 g (6.38 oz),"Glass front, aluminum back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"5.5 inches, 83.4 cm(~70.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 7 (Nougat), ZenUI 4",Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,Adreno 308Adreno 505,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM",eMMC 5.1,"16 MP, f/2.0, 26mm (wide), PDAF","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, 18mm (ultrawide), 1/3.06"", 1.0µm",LED,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1, A2DP, LE","GPS, GLONASS, BDS, GALILEO",No,No,"microUSB 2.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",Up to 1104 h (3G),Up to 40 h (3G),"Deepsea Black, Sunlight Gold, Rose Pink",About 250 EUR,,,
https://www.gsmarena.com/asus_zenfone_4_max_plus_zc554kl-8810.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-max-zc554kl.jpg,Asus Zenfone 4 Max Plus ZC554KL,"Released 2017, September","181g, 8.9mm thickness","Android 7, ZenUI 4","32GB storage, microSDXC","5.5""",720x1280 pixels,3 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, August","Available. Released 2017, September",154 x 76.9 x 8.9 mm (6.06 x 3.03 x 0.35 in),181 g (6.38 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",IPS LCD,"5.5 inches, 83.4 cm(~70.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 7 (Nougat), ZenUI 4",Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,microSDXC (dedicated slot),32GB 3GB RAM,eMMC 5.1,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,8 MP,LED,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1, A2DP, LE","GPS, GLONASS",No,No,"microUSB 2.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Deepsea Black, Sunlight Gold, Rose Pink","ZC550TL, ZC554KL, X015D",About 220 EUR,,,,,
https://www.gsmarena.com/asus_zenfone_4_max_zc554kl-8749.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-max-zc554kl.jpg,Asus Zenfone 4 Max ZC554KL,"Released 2017, September","181g, 8.9mm thickness","Android 7, ZenUI 4","32GB storage, microSDXC","5.5""",720x1280 pixels,3 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, July","Available. Released 2017, September",154 x 76.9 x 8.9 mm (6.06 x 3.03 x 0.35 in),181 g (6.38 oz),"Glass front (Gorilla Glass), aluminum back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",S-IPS LCD,"5.5 inches, 83.4 cm(~70.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Corning Gorilla Glass (unspecified version),"Android 7 (Nougat), ZenUI 4",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),32GB 3GB RAM,eMMC 5.1,"13 MP, f/2.0, 25mm (wide), AF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.2, 24mm (wide)",LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1, A2DP, LE","GPS, GLONASS, BDS",No,FM radio,"microUSB 2.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Titanium Gray, Rose Pink, Sand Gold, Deepsea Black","X00ID, X00IS, X00HDA, ZC554KL",About 270 EUR,,,
https://www.gsmarena.com/asus_zenpad_z8s_zt582kl-8801.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-z8s-zt582kl.jpg,Asus Zenpad Z8s ZT582KL,"Released 2017, August","306g, 6.9mm thickness",Android 7.0,"16GB storage, microSDXC","7.9""",1536x2048 pixels,3 GB RAM,4680 mAh Li-Po,GSM 850 / 900 / 1800 / 1900,HSDPA,"2, 4, 5, 13","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,Yes,"2017, August","Available. Released 2017, August",204 x 133.9 x 6.9 mm (8.03 x 5.27 x 0.27 in),306 g (10.79 oz),"Glass front, aluminum back, aluminum frame",Nano-SIM,S-IPS LCD,"7.9 inches, 193.3 cm(~70.8% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)",Android 7.0 (Nougat),Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Adreno 510,microSDXC (dedicated slot),16GB 3GB RAM,eMMC 5.1,"13 MP, f/2.0, AF",1080p@30fps,5 MP,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.2, A2DP, LE, aptX","GPS, GLONASS",No,No,USB Type-C,"Accelerometer, gyro, proximity, compass","Li-Po 4680 mAh, non-removable (18 Wh)",Black,1.19 W/kg (body),About 210 EUR,,,,
https://www.gsmarena.com/asus_zenpad_3s_8_0_z582kl-8711.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-3-80-z581kl-.jpg,Asus Zenpad 3s 8.0 Z582KL,"Released 2017, November",6.9mm thickness,Android 7.1,"32GB/64GB storage, microSDXC","7.9""",1536x2048 pixels,3/4 GB RAM,4680 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, May","Available. Released 2017, November",6.9 mm thickness,-,Micro-SIM,IPS LCD,"7.9 inches, 193.3 cm","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)",Android 7.1 (Nougat),Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Adreno 510,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM",eMMC 5.1,"13 MP, f/2.0, AF",1080p@30fps,5 MP,,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE, aptX","GPS, GLONASS",No,No,USB Type-C,"Accelerometer, gyro, proximity, compass","Li-Ion 4680 mAh, non-removable (18 Wh)",Black,About 250 EUR,,,,,,,
https://www.gsmarena.com/asus_zenfone_go_zb552kl-8681.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb551kl.jpg,Asus Zenfone Go ZB552KL,"Released 2017, May","168g, 10.9mm thickness","Android 6, ZenUI 3","16GB/32GB storage, microSDXC","5.5""",720x1280 pixels,2 GB RAM,3000 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - Global,"1, 2, 3, 5, 7, 8, 20 - Global","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, May","Available. Released 2017, May",153.4 x 76.4 x 10.9 mm (6.04 x 3.01 x 0.43 in),168 g (5.93 oz),"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,"5.5 inches, 83.4 cm(~71.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 6 (Marshmallow), ZenUI 3",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM",eMMC 4.5,"13 MP, f/2.0, AF","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"5 MP, f/2.0, AF",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, EDR","GPS, GLONASS, BDS",No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 3000 mAh, non-removable",Up to 480 h (3G),Up to 16 h (3G),"Charcoal Black, Pearl White, Glamor Red, Sheer Gold, Glacier Gray, Silver Blue",X007D,About 120 EUR,,,,
https://www.gsmarena.com/asus_zenfone_live_zb501kl-8579.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-zb501kl.jpg,Asus Zenfone Live ZB501KL,"Released 2017, March","120g, 8mm thickness","Android 6.0, ZenUI 3.5","16GB/32GB storage, microSDXC","5.0""",720x1280 pixels,2 GB RAM,2650 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, February","Available. Released 2017, March",141.2 x 71.7 x 8 mm (5.56 x 2.82 x 0.31 in),120 g (4.23 oz),"Glass front, aluminum back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"5.0 inches, 68.9 cm(~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 6.0 (Marshmallow), ZenUI 3.5",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 2GB RAM",eMMC 4.5,"13 MP, f/2.0, AF","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, 1.4µm, AF",LED falsh,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP","GPS, GLONASS",No,FM radio,"microUSB 2.0, OTG","Accelerometer, proximity, compass","Li-Ion 2650 mAh, non-removable","Shimmer Gold/Rose, Pink/Navy Black",A007,About 150 EUR,,,,
https://www.gsmarena.com/asus_zenfone_3s_max_zc521tl-8550.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3s-max-zc-521tl.jpg,Asus Zenfone 3s Max ZC521TL,"Released 2017, February","175g, 8.9mm thickness","Android 7, ZenUI 3","32GB storage, microSDXC","5.2""",720x1280 pixels,3 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - Global,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 38, 41 - Taiwan","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, January","Available. Released 2017, February",149.5 x 73.7 x 8.9 mm (5.89 x 2.90 x 0.35 in),175 g (5.22 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",IPS LCD,"5.2 inches, 74.5 cm(~67.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Android 7 (Nougat), ZenUI 3",Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),32GB 3GB RAM,eMMC 5.1,"13 MP, f/2.0, AF","Dual-LED dual-tone flash, panorama, HDR",1080p@30fps,8 MP,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.0, A2DP, EDR","GPS, GLONASS, BDS",No,FM radio,"microUSB 2.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",Up to 816 h (3G),Up to 28 h (3G),"Gold, Black",X00GD,About 180 EUR,GFXBench: 4.3fps (ES 3.1 onscreen),,,
https://www.gsmarena.com/asus_zenpad_3s_10_z500kl-8543.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-3s.jpg,Asus Zenpad 3S 10 Z500KL,"Released 2017, January","490g, 6.8mm thickness",Android 6.0,"32GB storage, microSDXC","9.7""",1536x2048 pixels,4 GB RAM,7800 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 9, 18, 19, 20, 26, 28, 38, 40","HSPA, LTE","2017, January","Available. Released 2017, January",242.3 x 164.2 x 6.8 mm (9.54 x 6.46 x 0.27 in),490 g (1.08 lb),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"9.7 inches, 291.4 cm(~73.2% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Oleophobic coating,Android 6.0 (Marshmallow),Qualcomm MSM8956 Snapdragon 650,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),Adreno 510,microSDXC (uses shared SIM slot),32GB 4GB RAM,eMMC 4.5,"8 MP, AF","HDR, panorama",1080p@30fps,5 MP,1080p@30fps,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE, EDR, aptX","GPS, GLONASS",No,No,USB Type-C 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 7800 mAh, non-removable (30 Wh)",Up to 16 h (multimedia),"Silver, Grey",About 350 EUR,,,,
